id,pred
0,отсутствие бренда
1,next
2,отсутствие бренда
3,отсутствие бренда
4,pro
5,млада
6,отсутствие бренда
7,отсутствие бренда
8,дракоша
9,perfect fit
10,отсутствие бренда
11,отсутствие бренда
12,отсутствие бренда
13,отсутствие бренда
14,отсутствие бренда
15,отсутствие бренда
16,отсутствие бренда
17,park
18,отсутствие бренда
19,стм
20,отсутствие бренда
21,кубай
22,отсутствие бренда
23,отсутствие бренда
24,отсутствие бренда
25,амели
26,ичалки
27,отсутствие бренда
28,отсутствие бренда
29,отсутствие бренда
30,маргарита
31,отсутствие бренда
32,растишка
33,отсутствие бренда
34,отсутствие бренда
35,отсутствие бренда
36,отсутствие бренда
37,отсутствие бренда
38,отсутствие бренда
39,карат
40,one
41,отсутствие бренда
42,отсутствие бренда
43,vetta
44,отсутствие бренда
45,отсутствие бренда
46,отсутствие бренда
47,отсутствие бренда
48,отсутствие бренда
49,forza
50,отсутствие бренда
51,отсутствие бренда
52,отсутствие бренда
53,отсутствие бренда
54,отсутствие бренда
55,отсутствие бренда
56,отсутствие бренда
57,чудо-ягода
58,отсутствие бренда
59,minifree
60,отсутствие бренда
61,отсутствие бренда
62,spider
63,отсутствие бренда
64,отсутствие бренда
65,отсутствие бренда
66,отсутствие бренда
67,отсутствие бренда
68,паранит
69,отсутствие бренда
70,отсутствие бренда
71,белогорье
72,отсутствие бренда
73,отсутствие бренда
74,sole
75,отсутствие бренда
76,фрутоняня
77,отсутствие бренда
78,отсутствие бренда
79,отсутствие бренда
80,отсутствие бренда
81,cheese gallery
82,отсутствие бренда
83,отсутствие бренда
84,отсутствие бренда
85,отсутствие бренда
86,отсутствие бренда
87,ld
88,отсутствие бренда
89,отсутствие бренда
90,маша и медведь
91,отсутствие бренда
92,классика
93,отсутствие бренда
94,отсутствие бренда
95,kleenex
96,отсутствие бренда
97,отсутствие бренда
98,отсутствие бренда
99,cutrin
100,отсутствие бренда
101,makfa
102,отсутствие бренда
103,отсутствие бренда
104,отсутствие бренда
105,отсутствие бренда
106,смайл
107,отсутствие бренда
108,отсутствие бренда
109,отсутствие бренда
110,отсутствие бренда
111,отсутствие бренда
112,лисма
113,отсутствие бренда
114,чистая линия
115,отсутствие бренда
116,отсутствие бренда
117,отсутствие бренда
118,отсутствие бренда
119,pink
120,прохвост
121,отсутствие бренда
122,отсутствие бренда
123,амфора
124,фруто няня
125,кактус
126,отсутствие бренда
127,калинов родник
128,чудесница
129,дирол
130,отсутствие бренда
131,отсутствие бренда
132,отсутствие бренда
133,отсутствие бренда
134,fanta
135,отсутствие бренда
136,brauberg
137,кобальт
138,отсутствие бренда
139,алтайская сказка
140,отсутствие бренда
141,отсутствие бренда
142,отсутствие бренда
143,отсутствие бренда
144,вкуснотеево
145,отсутствие бренда
146,отсутствие бренда
147,отсутствие бренда
148,отсутствие бренда
149,отсутствие бренда
150,отсутствие бренда
151,мажитэль
152,отсутствие бренда
153,отсутствие бренда
154,отсутствие бренда
155,отсутствие бренда
156,мастер
157,russia
158,отсутствие бренда
159,matrix
160,отсутствие бренда
161,отсутствие бренда
162,отсутствие бренда
163,отсутствие бренда
164,отсутствие бренда
165,отсутствие бренда
166,чудо
167,отсутствие бренда
168,отсутствие бренда
169,отсутствие бренда
170,отсутствие бренда
171,отсутствие бренда
172,остров сокровищ
173,fitness
174,отсутствие бренда
175,отсутствие бренда
176,отсутствие бренда
177,отсутствие бренда
178,бриллиант
179,за родину
180,отсутствие бренда
181,катрин
182,отсутствие бренда
183,отсутствие бренда
184,отсутствие бренда
185,отсутствие бренда
186,отсутствие бренда
187,jardin
188,отсутствие бренда
189,отсутствие бренда
190,отсутствие бренда
191,отсутствие бренда
192,отсутствие бренда
193,отсутствие бренда
194,отсутствие бренда
195,отсутствие бренда
196,отсутствие бренда
197,отсутствие бренда
198,отсутствие бренда
199,отсутствие бренда
200,отсутствие бренда
201,орбит
202,отсутствие бренда
203,отсутствие бренда
204,отсутствие бренда
205,отсутствие бренда
206,отсутствие бренда
207,классика
208,отсутствие бренда
209,отсутствие бренда
210,отсутствие бренда
211,иван-чай
212,отсутствие бренда
213,double dare
214,отсутствие бренда
215,отсутствие бренда
216,flirt
217,sport
218,отсутствие бренда
219,отсутствие бренда
220,amra
221,отсутствие бренда
222,отсутствие бренда
223,отсутствие бренда
224,under armour
225,отсутствие бренда
226,отсутствие бренда
227,боржоми
228,отсутствие бренда
229,ротманс
230,кока-кола
231,отсутствие бренда
232,отсутствие бренда
233,космос
234,отсутствие бренда
235,отсутствие бренда
236,отсутствие бренда
237,fila
238,отсутствие бренда
239,отсутствие бренда
240,отсутствие бренда
241,лейс
242,отсутствие бренда
243,отсутствие бренда
244,отсутствие бренда
245,принцесса нури
246,отсутствие бренда
247,отсутствие бренда
248,ремоколор
249,отсутствие бренда
250,отсутствие бренда
251,отсутствие бренда
252,отсутствие бренда
253,отсутствие бренда
254,отсутствие бренда
255,отсутствие бренда
256,отсутствие бренда
257,отсутствие бренда
258,отсутствие бренда
259,отсутствие бренда
260,морозко
261,престиж
262,отсутствие бренда
263,отсутствие бренда
264,отсутствие бренда
265,отсутствие бренда
266,grinda
267,отсутствие бренда
268,отсутствие бренда
269,отсутствие бренда
270,отсутствие бренда
271,отсутствие бренда
272,отсутствие бренда
273,отсутствие бренда
274,отсутствие бренда
275,вязанка
276,отсутствие бренда
277,one
278,отсутствие бренда
279,отсутствие бренда
280,снежок
281,отсутствие бренда
282,волга
283,отсутствие бренда
284,отсутствие бренда
285,отсутствие бренда
286,отсутствие бренда
287,красный октябрь
288,отсутствие бренда
289,отсутствие бренда
290,вискас
291,отсутствие бренда
292,отсутствие бренда
293,отсутствие бренда
294,chevrolet
295,отсутствие бренда
296,отсутствие бренда
297,отсутствие бренда
298,duracell
299,отсутствие бренда
300,отсутствие бренда
301,отсутствие бренда
302,отсутствие бренда
303,отсутствие бренда
304,отсутствие бренда
305,отсутствие бренда
306,zewa
307,лейз
308,волга
309,отсутствие бренда
310,корона
311,молочный гостинец
312,отсутствие бренда
313,отсутствие бренда
314,отсутствие бренда
315,отсутствие бренда
316,отсутствие бренда
317,heets
318,отсутствие бренда
319,отсутствие бренда
320,отсутствие бренда
321,отсутствие бренда
322,pampers
323,отсутствие бренда
324,отсутствие бренда
325,отсутствие бренда
326,отсутствие бренда
327,отсутствие бренда
328,отсутствие бренда
329,linda
330,davidoff
331,отсутствие бренда
332,отсутствие бренда
333,отсутствие бренда
334,поиск
335,отсутствие бренда
336,отсутствие бренда
337,отсутствие бренда
338,отсутствие бренда
339,отсутствие бренда
340,отсутствие бренда
341,отсутствие бренда
342,отсутствие бренда
343,отсутствие бренда
344,отсутствие бренда
345,отсутствие бренда
346,экомилк
347,север
348,отсутствие бренда
349,отсутствие бренда
350,отсутствие бренда
351,отсутствие бренда
352,фругурт
353,отсутствие бренда
354,отсутствие бренда
355,отсутствие бренда
356,отсутствие бренда
357,отсутствие бренда
358,отсутствие бренда
359,отсутствие бренда
360,отсутствие бренда
361,отсутствие бренда
362,отсутствие бренда
363,отсутствие бренда
364,отсутствие бренда
365,отсутствие бренда
366,отсутствие бренда
367,henderson
368,clearlight
369,gold
370,отсутствие бренда
371,литур
372,отсутствие бренда
373,отсутствие бренда
374,отсутствие бренда
375,отсутствие бренда
376,отсутствие бренда
377,отсутствие бренда
378,perfect
379,отсутствие бренда
380,отсутствие бренда
381,классика
382,отсутствие бренда
383,отсутствие бренда
384,фрутмотив
385,отсутствие бренда
386,орбит
387,отсутствие бренда
388,отсутствие бренда
389,отсутствие бренда
390,отсутствие бренда
391,отсутствие бренда
392,отсутствие бренда
393,слобода
394,pepsi
395,сладкая слобода
396,отсутствие бренда
397,отсутствие бренда
398,pettric
399,jacobs
400,отсутствие бренда
401,отсутствие бренда
402,отсутствие бренда
403,отсутствие бренда
404,matrix
405,купино
406,kewpie
407,отсутствие бренда
408,отсутствие бренда
409,kent
410,отсутствие бренда
411,отсутствие бренда
412,отсутствие бренда
413,отсутствие бренда
414,отсутствие бренда
415,отсутствие бренда
416,отсутствие бренда
417,отсутствие бренда
418,отсутствие бренда
419,отсутствие бренда
420,отсутствие бренда
421,отсутствие бренда
422,кратон
423,вера
424,haruyama
425,отсутствие бренда
426,bond
427,отсутствие бренда
428,фанта
429,отсутствие бренда
430,отсутствие бренда
431,отсутствие бренда
432,отсутствие бренда
433,отсутствие бренда
434,отсутствие бренда
435,отсутствие бренда
436,отсутствие бренда
437,отсутствие бренда
438,отсутствие бренда
439,отсутствие бренда
440,отсутствие бренда
441,l'oreal paris
442,отсутствие бренда
443,отсутствие бренда
444,отсутствие бренда
445,отсутствие бренда
446,отсутствие бренда
447,некст
448,отсутствие бренда
449,asics
450,отсутствие бренда
451,отсутствие бренда
452,отсутствие бренда
453,бородинский
454,отсутствие бренда
455,отсутствие бренда
456,лакомка
457,отсутствие бренда
458,отсутствие бренда
459,отсутствие бренда
460,шебекинские
461,отсутствие бренда
462,отсутствие бренда
463,миг
464,отсутствие бренда
465,отсутствие бренда
466,отсутствие бренда
467,отсутствие бренда
468,отсутствие бренда
469,отсутствие бренда
470,пародонтол
471,отсутствие бренда
472,отсутствие бренда
473,сенатор
474,отсутствие бренда
475,отсутствие бренда
476,отсутствие бренда
477,отсутствие бренда
478,золотая семечка
479,nivea
480,полимербыт
481,отсутствие бренда
482,отсутствие бренда
483,эрмигурт
484,хайнц
485,отсутствие бренда
486,венето
487,отсутствие бренда
488,отсутствие бренда
489,отсутствие бренда
490,nongshim
491,отсутствие бренда
492,отсутствие бренда
493,отсутствие бренда
494,жара
495,отсутствие бренда
496,комфорт
497,санта бремор
498,отсутствие бренда
499,отсутствие бренда
500,отсутствие бренда
501,отсутствие бренда
502,отсутствие бренда
503,отсутствие бренда
504,отсутствие бренда
505,отсутствие бренда
506,акконд
507,отсутствие бренда
508,янтарное
509,отсутствие бренда
510,отсутствие бренда
511,отсутствие бренда
512,organic
513,дихлофос
514,отсутствие бренда
515,отсутствие бренда
516,отсутствие бренда
517,отсутствие бренда
518,отсутствие бренда
519,отсутствие бренда
520,отсутствие бренда
521,отсутствие бренда
522,хрутка
523,отсутствие бренда
524,отсутствие бренда
525,отсутствие бренда
526,отсутствие бренда
527,отсутствие бренда
528,отсутствие бренда
529,отсутствие бренда
530,отсутствие бренда
531,отсутствие бренда
532,отсутствие бренда
533,термаль
534,отсутствие бренда
535,отсутствие бренда
536,отсутствие бренда
537,отсутствие бренда
538,отсутствие бренда
539,отсутствие бренда
540,отсутствие бренда
541,отсутствие бренда
542,отсутствие бренда
543,отсутствие бренда
544,корона
545,отсутствие бренда
546,даниссимо
547,отсутствие бренда
548,новая жизнь
549,вятский
550,отсутствие бренда
551,энергия
552,armada
553,отсутствие бренда
554,отсутствие бренда
555,отсутствие бренда
556,отсутствие бренда
557,петруха
558,филип моррис
559,отсутствие бренда
560,чудо
561,отсутствие бренда
562,artspace
563,отсутствие бренда
564,отсутствие бренда
565,zamel
566,примрыбснаб
567,roxy-kids
568,отсутствие бренда
569,отсутствие бренда
570,зенит
571,синтез
572,отсутствие бренда
573,отсутствие бренда
574,отсутствие бренда
575,отсутствие бренда
576,отсутствие бренда
577,отсутствие бренда
578,отсутствие бренда
579,отсутствие бренда
580,коралл
581,ми-ми-мишки
582,отсутствие бренда
583,отсутствие бренда
584,отсутствие бренда
585,отсутствие бренда
586,отсутствие бренда
587,отсутствие бренда
588,отсутствие бренда
589,отсутствие бренда
590,отсутствие бренда
591,отсутствие бренда
592,fitness
593,отсутствие бренда
594,отсутствие бренда
595,бондюэль
596,отсутствие бренда
597,отсутствие бренда
598,отсутствие бренда
599,отсутствие бренда
600,китекет
601,отсутствие бренда
602,отсутствие бренда
603,отсутствие бренда
604,шебекинские
605,отсутствие бренда
606,отсутствие бренда
607,отсутствие бренда
608,отсутствие бренда
609,киприно
610,бежицкий
611,отсутствие бренда
612,shine
613,отсутствие бренда
614,отсутствие бренда
615,эвалар
616,отсутствие бренда
617,отсутствие бренда
618,отсутствие бренда
619,отсутствие бренда
620,отсутствие бренда
621,отсутствие бренда
622,отсутствие бренда
623,отсутствие бренда
624,отсутствие бренда
625,отсутствие бренда
626,отсутствие бренда
627,отсутствие бренда
628,отсутствие бренда
629,отсутствие бренда
630,ростагроэкспорт
631,valio
632,пепси
633,отсутствие бренда
634,отсутствие бренда
635,отсутствие бренда
636,отсутствие бренда
637,отсутствие бренда
638,отсутствие бренда
639,отсутствие бренда
640,бабкины семечки
641,отсутствие бренда
642,отсутствие бренда
643,defender
644,отсутствие бренда
645,отсутствие бренда
646,отсутствие бренда
647,отсутствие бренда
648,flash up
649,arko
650,carioca
651,морская радуга
652,отсутствие бренда
653,отсутствие бренда
654,папа может
655,нескафе
656,отсутствие бренда
657,отсутствие бренда
658,отсутствие бренда
659,отсутствие бренда
660,отсутствие бренда
661,отсутствие бренда
662,отсутствие бренда
663,вертекс
664,отсутствие бренда
665,отсутствие бренда
666,отсутствие бренда
667,отсутствие бренда
668,отсутствие бренда
669,frut
670,отсутствие бренда
671,compliment
672,отсутствие бренда
673,отсутствие бренда
674,отсутствие бренда
675,отсутствие бренда
676,фрутоняня
677,отсутствие бренда
678,отсутствие бренда
679,отсутствие бренда
680,отсутствие бренда
681,j-7
682,отсутствие бренда
683,отсутствие бренда
684,отсутствие бренда
685,отсутствие бренда
686,сытоедов
687,отсутствие бренда
688,отсутствие бренда
689,отсутствие бренда
690,jazzway
691,отсутствие бренда
692,отсутствие бренда
693,отсутствие бренда
694,отсутствие бренда
695,easy
696,eva
697,отсутствие бренда
698,отсутствие бренда
699,отсутствие бренда
700,отсутствие бренда
701,отсутствие бренда
702,ночной охотник
703,отсутствие бренда
704,отсутствие бренда
705,левушка
706,отсутствие бренда
707,отсутствие бренда
708,отсутствие бренда
709,friskies
710,отсутствие бренда
711,отсутствие бренда
712,данон
713,отсутствие бренда
714,чудо
715,отсутствие бренда
716,отсутствие бренда
717,отсутствие бренда
718,lori
719,отсутствие бренда
720,отсутствие бренда
721,отсутствие бренда
722,бонд
723,президент
724,доширак
725,эрмигурт
726,kent
727,отсутствие бренда
728,отсутствие бренда
729,grossmeister
730,отсутствие бренда
731,отсутствие бренда
732,отсутствие бренда
733,чудо
734,отсутствие бренда
735,отсутствие бренда
736,отсутствие бренда
737,отсутствие бренда
738,отсутствие бренда
739,отсутствие бренда
740,отсутствие бренда
741,отсутствие бренда
742,мелочи жизни
743,отсутствие бренда
744,tuc
745,отсутствие бренда
746,отсутствие бренда
747,отсутствие бренда
748,отсутствие бренда
749,золотая бочка
750,отсутствие бренда
751,отсутствие бренда
752,отсутствие бренда
753,отсутствие бренда
754,отсутствие бренда
755,feron
756,отсутствие бренда
757,планета
758,отсутствие бренда
759,отсутствие бренда
760,отсутствие бренда
761,китекат
762,snacker
763,отсутствие бренда
764,отсутствие бренда
765,вкуснотеево
766,отсутствие бренда
767,отсутствие бренда
768,карлсберг
769,отсутствие бренда
770,от мартина
771,отсутствие бренда
772,igora
773,отсутствие бренда
774,отсутствие бренда
775,сплав
776,отсутствие бренда
777,отсутствие бренда
778,отсутствие бренда
779,отсутствие бренда
780,спк
781,отсутствие бренда
782,отсутствие бренда
783,отсутствие бренда
784,отсутствие бренда
785,отсутствие бренда
786,отсутствие бренда
787,отсутствие бренда
788,отсутствие бренда
789,отсутствие бренда
790,отсутствие бренда
791,отсутствие бренда
792,святой источник
793,navigator
794,пародонтол
795,отсутствие бренда
796,отсутствие бренда
797,отсутствие бренда
798,отсутствие бренда
799,отсутствие бренда
800,мираторг
801,space
802,wmf
803,ceresit
804,отсутствие бренда
805,хайнц
806,отсутствие бренда
807,отсутствие бренда
808,рассвет
809,отсутствие бренда
810,green
811,luxor
812,отсутствие бренда
813,отсутствие бренда
814,отсутствие бренда
815,oral-b
816,отсутствие бренда
817,отсутствие бренда
818,отсутствие бренда
819,отсутствие бренда
820,отсутствие бренда
821,пародонтол
822,отсутствие бренда
823,пантин
824,отсутствие бренда
825,афанасий
826,отсутствие бренда
827,отсутствие бренда
828,отсутствие бренда
829,отсутствие бренда
830,отсутствие бренда
831,отсутствие бренда
832,hegel
833,bosch
834,sanitol
835,отсутствие бренда
836,отсутствие бренда
837,отсутствие бренда
838,отсутствие бренда
839,медведь
840,отсутствие бренда
841,отсутствие бренда
842,отсутствие бренда
843,жаворонки
844,отсутствие бренда
